Date,Time (UTC),Local Time,Agent_ID,Active,Action,Responding to (Agent No),Message
2024-01-01,00:00:00,11:00:00,7,Active,Post,,"I have this to say at time 7, 2024-01-01 00:00:00 UTC"
2024-01-01,00:00:00,11:00:00,8,Active,Post,,"I have this to say at time 8, 2024-01-01 00:00:00 UTC"
2024-01-01,01:00:00,12:00:00,7,Active,Post,,"I have this to say at time 7, 2024-01-01 01:00:00 UTC"
2024-01-01,01:00:00,12:00:00,8,Active,Post,,"I have this to say at time 8, 2024-01-01 01:00:00 UTC"
2024-01-01,02:30:00,08:00:00,1,Active,Post,,"I have this to say at time 1, 2024-01-01 02:30:00 UTC"
2024-01-01,02:30:00,08:00:00,2,Active,Response,7,"My response to 7, 2024-01-01 00:00:00 UTC"
2024-01-01,02:30:00,08:00:00,2,Active,Response,8,"My response to 8, 2024-01-01 00:00:00 UTC"
2024-01-01,02:30:00,08:00:00,2,Active,Response,7,"My response to 7, 2024-01-01 01:00:00 UTC"
2024-01-01,02:30:00,08:00:00,2,Active,Response,8,"My response to 8, 2024-01-01 01:00:00 UTC"
2024-01-01,02:30:00,08:00:00,2,Active,Response,1,"My response to 1, 2024-01-01 02:30:00 UTC"
2024-01-01,02:30:00,08:00:00,2,Active,Response,2,"My response to 2, 2024-01-01 02:30:00 UTC"
2024-01-01,04:30:00,10:00:00,1,Active,Post,,"I have this to say at time 1, 2024-01-01 04:30:00 UTC"
2024-01-01,04:30:00,10:00:00,2,Active,Response,1,"My response to 1, 2024-01-01 04:30:00 UTC"
2024-01-01,04:30:00,10:00:00,2,Active,Response,2,"My response to 2, 2024-01-01 04:30:00 UTC"
2024-01-01,05:00:00,16:00:00,7,Active,Post,,"I have this to say at time 7, 2024-01-01 05:00:00 UTC"
2024-01-01,05:00:00,16:00:00,8,Active,Post,,"I have this to say at time 8, 2024-01-01 05:00:00 UTC"
2024-01-01,06:00:00,08:00:00,9,Active,Post,,"I have this to say at time 9, 2024-01-01 06:00:00 UTC"
2024-01-01,06:00:00,08:00:00,10,Active,Post,,"I have this to say at time 10, 2024-01-01 06:00:00 UTC"
2024-01-01,06:30:00,12:00:00,1,Active,Post,,"I have this to say at time 1, 2024-01-01 06:30:00 UTC"
2024-01-01,06:30:00,12:00:00,2,Active,Response,7,"My response to 7, 2024-01-01 05:00:00 UTC"
2024-01-01,06:30:00,12:00:00,2,Active,Response,8,"My response to 8, 2024-01-01 05:00:00 UTC"
2024-01-01,06:30:00,12:00:00,2,Active,Response,9,"My response to 9, 2024-01-01 06:00:00 UTC"
2024-01-01,06:30:00,12:00:00,2,Active,Response,10,"My response to 10, 2024-01-01 06:00:00 UTC"
2024-01-01,06:30:00,12:00:00,2,Active,Response,1,"My response to 1, 2024-01-01 06:30:00 UTC"
2024-01-01,06:30:00,12:00:00,2,Active,Response,2,"My response to 2, 2024-01-01 06:30:00 UTC"
2024-01-01,08:00:00,08:00:00,5,Active,Post,,"I have this to say at time 5, 2024-01-01 08:00:00 UTC"
2024-01-01,08:00:00,08:00:00,6,Active,Response,7,🙂
2024-01-01,08:00:00,08:00:00,6,Active,Response,8,🙂
2024-01-01,08:00:00,08:00:00,6,Active,Response,7,🙂
