Date,Time (UTC),Local Time,Agent_ID,Behavior,Message,Responding to (Agent No)
2024-01-01,00:00:00,08:00:00,2,Active,,
2024-01-01,00:00:00,08:00:00,11,Active,,
2024-01-01,00:00:00,08:00:00,15,Active,,
2024-01-01,00:00:00,08:00:00,16,Active,,
2024-01-01,00:00:00,08:00:00,17,Active,,
2024-01-01,00:00:00,08:00:00,21,Active,,
2024-01-01,00:00:00,08:00:00,26,Active,,
2024-01-01,00:00:00,08:00:00,44,Active,,
2024-01-01,00:00:00,08:00:00,52,Active,,
2024-01-01,00:00:00,08:00:00,52,Post,"I have this to say at time 52, 2024-01-01 00:00:00 UTC",
2024-01-01,00:00:00,08:00:00,53,Active,,
2024-01-01,00:00:00,08:00:00,53,Response,"My response to 52, 2024-01-01 00:00:00 UTC",52.0
2024-01-01,00:00:00,08:00:00,55,Active,,
2024-01-01,00:00:00,08:00:00,55,Read,"I have this to say at time 52, 2024-01-01 00:00:00 UTC",
2024-01-01,00:00:00,08:00:00,63,Active,,
2024-01-01,00:00:00,08:00:00,63,Read,"I have this to say at time 52, 2024-01-01 00:00:00 UTC",
2024-01-01,00:00:00,08:00:00,65,Active,,
2024-01-01,00:00:00,08:00:00,65,Read,"I have this to say at time 52, 2024-01-01 00:00:00 UTC",
2024-01-01,00:00:00,08:00:00,69,Active,,
2024-01-01,00:00:00,08:00:00,69,Post,"I have this to say at time 69, 2024-01-01 00:00:00 UTC",
2024-01-01,00:00:00,08:00:00,69,Read,"I have this to say at time 52, 2024-01-01 00:00:00 UTC",
2024-01-01,00:00:00,08:00:00,70,Active,,
2024-01-01,00:00:00,08:00:00,70,Response,"My response to 52, 2024-01-01 00:00:00 UTC",52.0
2024-01-01,00:00:00,08:00:00,70,Response,"My response to 69, 2024-01-01 00:00:00 UTC",69.0
2024-01-01,00:00:00,08:00:00,71,Active,,
2024-01-01,00:00:00,08:00:00,71,Read,"I have this to say at time 52, 2024-01-01 00:00:00 UTC",
2024-01-01,00:00:00,08:00:00,71,Read,"I have this to say at time 69, 2024-01-01 00:00:00 UTC",
2024-01-01,00:00:00,08:00:00,73,Active,,
2024-01-01,00:00:00,08:00:00,73,Response,"My response to 52, 2024-01-01 00:00:00 UTC",52.0
2024-01-01,00:00:00,08:00:00,73,Response,"My response to 69, 2024-01-01 00:00:00 UTC",69.0
2024-01-01,00:00:00,08:00:00,76,Active,,
2024-01-01,00:00:00,08:00:00,76,Read,"I have this to say at time 52, 2024-01-01 00:00:00 UTC",
2024-01-01,00:00:00,08:00:00,76,Read,"I have this to say at time 69, 2024-01-01 00:00:00 UTC",
2024-01-01,00:00:00,08:00:00,85,Active,,
2024-01-01,00:00:00,08:00:00,85,Response,"My response to 52, 2024-01-01 00:00:00 UTC",52.0
2024-01-01,00:00:00,08:00:00,85,Response,"My response to 69, 2024-01-01 00:00:00 UTC",69.0
2024-01-01,00:00:00,08:00:00,86,Active,,
2024-01-01,00:00:00,08:00:00,86,Response,"My response to 52, 2024-01-01 00:00:00 UTC",52.0
2024-01-01,00:00:00,08:00:00,86,Response,"My response to 69, 2024-01-01 00:00:00 UTC",69.0
2024-01-01,00:00:00,08:00:00,90,Active,,
2024-01-01,00:00:00,08:00:00,90,Read,"I have this to say at time 52, 2024-01-01 00:00:00 UTC",
2024-01-01,00:00:00,08:00:00,90,Read,"I have this to say at time 69, 2024-01-01 00:00:00 UTC",
2024-01-01,00:00:00,08:00:00,102,Active,,
2024-01-01,00:00:00,08:00:00,102,Read,"I have this to say at time 52, 2024-01-01 00:00:00 UTC",
2024-01-01,00:00:00,08:00:00,102,Read,"I have this to say at time 69, 2024-01-01 00:00:00 UTC",
